2026-01-14 18:54:21,283 | INFO | services.invoice_ingest.usfoods_importer | Starting invoice import
2026-01-14 18:54:21,307 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,307 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,308 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,308 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,309 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,322 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,323 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,323 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,324 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,328 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,339 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,343 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,362 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 18:54:21,368 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,371 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,380 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,392 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,393 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,395 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,396 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,398 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 18:54:21,399 | INFO | services.invoice_persistence | Persisting invoice
2026-01-14 18:54:21,442 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,444 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,446 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,448 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,456 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,458 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,461 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,471 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,474 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,476 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,478 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,487 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,489 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,492 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,500 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,502 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,505 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,508 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,517 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,520 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,523 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,525 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,533 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,535 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,539 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,548 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,550 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 18:54:21,555 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,557 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,565 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,566 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,578 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 18:54:21,592 | INFO | services.invoice_ingest.pfs_importer | Starting invoice import
2026-01-14 19:09:32,726 | INFO | services.invoice_ingest.usfoods_importer | Starting invoice import
2026-01-14 19:09:32,752 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,753 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,760 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,764 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,765 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,786 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,791 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,812 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,819 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,841 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:09:32,866 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,868 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,870 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,884 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,898 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,900 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,902 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,931 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:09:32,933 | INFO | services.invoice_persistence | Persisting invoice
2026-01-14 19:09:33,025 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,030 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,044 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,046 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,049 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,054 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,055 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,076 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,098 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,103 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,124 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,150 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,155 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,182 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,192 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,216 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,227 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,250 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,262 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,284 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,315 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,322 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,348 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,366 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,370 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,372 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:09:33,385 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,399 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:09:33,419 | INFO | services.invoice_ingest.pfs_importer | Starting invoice import
